"";"mandante";"visitante";"time"
"268";"SPO";"SAN";"##------ Mon May 10 13:56:39 2021 ------##"
"269";"CEA";"RED";"##------ Mon May 10 13:56:39 2021 ------##"
"270";"GRE";"JUV";"##------ Mon May 10 13:56:39 2021 ------##"
"271";"INT";"COR";"##------ Mon May 10 13:56:39 2021 ------##"
"272";"ATL";"GRE";"##------ Mon May 10 13:56:39 2021 ------##"
"273";"JUV";"CEA";"##------ Mon May 10 13:56:39 2021 ------##"
"274";"RED";"SAO";"##------ Mon May 10 13:56:39 2021 ------##"
"275";"BAH";"CHA";"##------ Mon May 10 13:56:39 2021 ------##"
"276";"FOR";"ATH";"##------ Mon May 10 13:56:39 2021 ------##"
"277";"ATL";"CUI";"##------ Mon May 10 13:56:39 2021 ------##"
"278";"SAN";"AME";"##------ Mon May 10 13:56:39 2021 ------##"
"279";"PAL";"SPO";"##------ Mon May 10 13:56:39 2021 ------##"
"280";"FLU";"FLA";"##------ Mon May 10 13:56:39 2021 ------##"
"281";"AME";"FOR";"##------ Mon May 10 13:56:39 2021 ------##"
"282";"SAO";"INT";"##------ Mon May 10 13:56:39 2021 ------##"
"283";"COR";"CHA";"##------ Mon May 10 13:56:39 2021 ------##"
"284";"FLA";"ATL";"##------ Mon May 10 13:56:39 2021 ------##"
"285";"CEA";"FLU";"##------ Mon May 10 13:56:39 2021 ------##"
"286";"GRE";"PAL";"##------ Mon May 10 13:56:39 2021 ------##"
"287";"SPO";"ATL";"##------ Mon May 10 13:56:39 2021 ------##"
"288";"ATH";"SAN";"##------ Mon May 10 13:56:39 2021 ------##"
"289";"CUI";"RED";"##------ Mon May 10 13:56:39 2021 ------##"
"290";"JUV";"BAH";"##------ Mon May 10 13:56:39 2021 ------##"
"291";"CHA";"FLA";"##------ Mon May 10 13:56:39 2021 ------##"
"292";"ATL";"JUV";"##------ Mon May 10 13:56:39 2021 ------##"
"293";"RED";"ATH";"##------ Mon May 10 13:56:39 2021 ------##"
"294";"BAH";"SAO";"##------ Mon May 10 13:56:39 2021 ------##"
"295";"CEA";"CUI";"##------ Mon May 10 13:56:39 2021 ------##"
"296";"INT";"GRE";"##------ Mon May 10 13:56:39 2021 ------##"
"297";"ATL";"AME";"##------ Mon May 10 13:56:39 2021 ------##"
"298";"SAN";"PAL";"##------ Mon May 10 13:56:39 2021 ------##"
"299";"COR";"FOR";"##------ Mon May 10 13:56:39 2021 ------##"
"300";"FLU";"SPO";"##------ Mon May 10 13:56:39 2021 ------##"
"301";"ATH";"CEA";"##------ Mon May 10 13:56:39 2021 ------##"
"302";"SPO";"AME";"##------ Mon May 10 13:56:39 2021 ------##"
"303";"FOR";"SAO";"##------ Mon May 10 13:56:39 2021 ------##"
"304";"GRE";"FLU";"##------ Mon May 10 13:56:39 2021 ------##"
"305";"ATL";"COR";"##------ Mon May 10 13:56:39 2021 ------##"
"306";"SAN";"RED";"##------ Mon May 10 13:56:39 2021 ------##"
"307";"PAL";"ATL";"##------ Mon May 10 13:56:39 2021 ------##"
"308";"FLA";"BAH";"##------ Mon May 10 13:56:39 2021 ------##"
"309";"CUI";"CHA";"##------ Mon May 10 13:56:39 2021 ------##"
"310";"JUV";"INT";"##------ Mon May 10 13:56:39 2021 ------##"
"311";"FLU";"PAL";"##------ Mon May 10 13:56:39 2021 ------##"
"312";"COR";"CUI";"##------ Mon May 10 13:56:39 2021 ------##"
"313";"ATL";"SAN";"##------ Mon May 10 13:56:39 2021 ------##"
"314";"CHA";"JUV";"##------ Mon May 10 13:56:39 2021 ------##"
"315";"RED";"FOR";"##------ Mon May 10 13:56:39 2021 ------##"
"316";"BAH";"ATL";"##------ Mon May 10 13:56:39 2021 ------##"
"317";"CEA";"SPO";"##------ Mon May 10 13:56:39 2021 ------##"
"318";"INT";"ATH";"##------ Mon May 10 13:56:39 2021 ------##"
"319";"AME";"GRE";"##------ Mon May 10 13:56:39 2021 ------##"
"320";"SAO";"FLA";"##------ Mon May 10 13:56:39 2021 ------##"
"321";"SAN";"CHA";"##------ Mon May 10 13:56:39 2021 ------##"
"322";"CUI";"INT";"##------ Mon May 10 13:56:39 2021 ------##"
"323";"JUV";"FLU";"##------ Mon May 10 13:56:39 2021 ------##"
"324";"ATH";"ATL";"##------ Mon May 10 13:56:39 2021 ------##"
"325";"SPO";"BAH";"##------ Mon May 10 13:56:39 2021 ------##"
"326";"FOR";"CEA";"##------ Mon May 10 13:56:39 2021 ------##"
"327";"GRE";"RED";"##------ Mon May 10 13:56:39 2021 ------##"
"328";"AME";"ATL";"##------ Mon May 10 13:56:39 2021 ------##"
"329";"PAL";"SAO";"##------ Mon May 10 13:56:39 2021 ------##"
"330";"FLA";"COR";"##------ Mon May 10 13:56:39 2021 ------##"
